"Species","Site","Array","Initial.n","n","n.broken","Breakage.Prev"
"ACER","Core 1","G31",90,64,12,13.3333333333333
"ACER","Core 1","G34",90,54,10,11.1111111111111
"ACER","Core 1","G36",90,75,28,31.1111111111111
"ACER","Core 1","S10",90,68,0,0
"ACER","Core 1","S8",90,36,6,6.66666666666667
"ACER","Core 2","C5-I",103,90,4,3.88349514563107
"ACER","Core 2","GC25",102,96,3,2.94117647058824
"ACER","Core 2","GC29",102,42,2,1.96078431372549
"ACER","Core 2","GC39",102,62,15,14.7058823529412
"ACER","Experimental 1","GX30",102,89,1,0.980392156862745
"ACER","Experimental 1","HC7",102,75,0,0
"ACER","Experimental 1","XC1",102,62,3,2.94117647058824
"ACER","Experimental 1","XC2",105,87,0,0
"ACER","Experimental 1","XC3",108,100,1,0.925925925925926
"ACER","Experimental 4","G23",90,59,3,3.33333333333333
"ACER","Experimental 4","S9",90,78,7,7.77777777777778
"ACER","Experimental 4","X27",90,79,6,6.66666666666667
"ACER","Experimental 4","XC4",90,77,4,4.44444444444444
"ACER","Experimental 4","XC5",90,79,13,14.4444444444444
"ACER","Experimental 5","G16",23,17,3,13.0434782608696
"ACER","Experimental 5","G17",155,135,10,6.45161290322581
"ACER","Experimental 5","G20",102,76,11,10.7843137254902
"ACER","Experimental 5","G21",114,107,13,11.4035087719298
"ACER","Experimental 5","G26",90,79,9,10
"ACER","Experimental 5","G27",113,99,14,12.3893805309735
"ACER","Experimental 5","G29",102,101,17,16.6666666666667
"ACER","Experimental 5","G33",90,78,4,4.44444444444444
"ACER","Experimental 5","S1",90,85,6,6.66666666666667
"ACER","Experimental 5","S4",90,78,9,10
"ACER","Experimental 5","X23",90,80,7,7.77777777777778
"ACER","Experimental 6","G13",102,63,9,8.82352941176471
"ACER","Experimental 6","G18",102,82,9,8.82352941176471
"ACER","Experimental 6","G24",102,82,8,7.84313725490196
"ACER","Experimental 6","G25",108,85,1,0.925925925925926
"ACER","Experimental 6","GC37",102,89,14,13.7254901960784
"ACER","South Commercial","H22",106,85,7,6.60377358490566
"ACER","South Commercial","H25",98,88,4,4.08163265306122
"ACER","South Commercial","H28",120,78,37,30.8333333333333
"ACER","South Commercial","H29",90,43,19,21.1111111111111
"ACER","South Commercial","H30",100,53,14,14
"ACER","South Commercial","S5",90,83,2,2.22222222222222
"ACER","South Commercial","S6",90,81,4,4.44444444444444
"ACER","South Commercial","S7",90,83,20,22.2222222222222
"ACER","Staghorn City","H20",102,52,5,4.90196078431373
"ACER","Staghorn City","H21",132,78,10,7.57575757575758
"ACER","Staghorn City","H23",107,88,10,9.34579439252336
"ACER","Staghorn City","H24",109,89,0,0
"ACER","Staghorn City","S2",90,86,12,13.3333333333333
"ACER","Staghorn City","S3",90,86,8,8.88888888888889
"ACER","Staghorn City","X15",90,86,3,3.33333333333333
"ACER","West Copenhagen","XC10",90,88,6,6.66666666666667
"ACER","West Copenhagen","XC7",90,74,7,7.77777777777778
"ACER","West Copenhagen","XC8",90,90,11,12.2222222222222
